Id,PurchaseAmount,NumItems,ShippingDistance,PaymentMethod,TransactionHour
132,5.27,4,70.5,0,20
327,13.98,2,18.9,0,8
143,78.76,1,36.8,1,19
1493,140.9,4,407.2,3,22
67,43.28,1,38.0,0,8
683,254.91,1,734.2,2,4
904,189.15,2,259.4,2,4
1791,251.75,3,244.7,2,22
490,181.34,7,913.3,3,0
1138,134.21,4,977.6,2,0
1647,146.73,4,335.5,2,22
302,38.32,1,20.9,1,21
267,3.34,1,19.9,1,16
1170,239.48,5,626.8,3,5
1622,218.86,4,407.3,3,23
628,181.26,2,328.9,2,1
957,224.8,3,704.4,3,4
765,231.68,1,636.7,3,3
743,198.96,1,563.2,2,5
1061,277.02,2,634.8,3,0
939,161.06,1,447.5,3,1
1047,189.41,5,389.2,2,0
1826,148.06,5,855.8,2,22
547,176.45,6,229.1,2,0
87,13.27,3,72.8,1,14
257,31.56,1,53.8,1,17
1587,196.82,5,489.0,3,23
949,194.58,3,210.4,2,5
718,177.34,4,898.7,2,4
222,135.39,5,45.7,1,19
1290,200.48,2,689.9,2,22
773,217.44,4,899.7,2,4
383,32.17,4,18.2,0,11
699,206.82,6,482.2,2,0
1751,246.19,5,704.2,3,23
808,175.17,4,558.4,2,3
1206,196.93,5,888.4,3,22
1777,273.02,5,931.2,3,22
1380,164.55,4,831.6,3,22
411,159.09,5,531.6,3,5
526,236.82,5,236.1,3,1
115,12.41,1,73.3,0,8
1125,155.23,3,967.9,2,0
1053,206.08,4,624.0,2,2
1422,207.49,9,232.4,2,22
913,248.19,5,426.6,2,1
1667,198.35,6,441.6,3,22
1985,187.25,2,962.7,3,22
104,4.21,2,8.2,0,9
1070,171.42,2,460.4,2,1
974,275.82,6,813.5,3,5
352,96.08,2,57.3,1,14
1242,55.4,6,946.6,3,23
64,33.69,1,52.9,0,14
1882,199.07,3,522.3,2,23
1310,278.6,5,226.6,3,22
337,14.82,1,26.9,1,9
825,249.39,3,349.3,3,0
1180,184.92,3,238.5,3,1
1781,190.53,7,476.5,3,22
219,56.03,3,93.7,1,17
1479,165.99,5,755.2,2,22
1721,106.24,5,434.4,3,23
1918,149.42,3,542.2,2,22
385,34.98,1,68.8,1,16
396,13.41,1,21.6,0,20
864,223.32,5,763.7,2,0
22,56.8,2,71.9,0,8
1362,138.81,6,527.3,2,22
1611,153.39,7,247.1,3,23
1566,214.2,7,342.4,2,23
310,7.66,2,66.4,1,15
441,269.48,7,235.2,3,4
120,133.56,4,22.2,0,21
1941,216.78,6,825.6,2,23
734,139.67,3,422.1,3,2
76,27.07,3,76.4,1,9
1328,268.54,3,448.7,3,23
43,11.45,1,75.3,0,21
113,5.63,1,26.1,1,21
1068,152.76,3,703.3,3,2
459,235.36,7,538.2,2,4
1036,244.64,3,257.9,3,3
227,18.69,1,8.1,0,15
1020,207.95,3,670.0,3,1
1358,171.72,5,678.5,3,23
1005,136.59,6,422.3,3,1
1931,237.92,3,424.9,2,23
669,270.98,3,776.1,2,2
479,253.91,2,380.6,2,1
1445,105.73,4,545.1,3,23
1521,201.26,2,730.1,3,23
896,227.21,3,730.7,2,1
36,11.23,1,85.8,0,18
262,2.09,1,76.9,1,8
1644,265.58,4,893.2,3,23
1030,124.06,5,800.1,2,2
1348,193.36,5,557.0,2,22
467,160.15,6,960.7,3,3
1938,131.28,3,590.9,3,22
1043,140.11,6,388.6,2,2
1165,301.64,3,509.6,3,0
1424,162.81,1,654.3,3,23
969,214.42,3,791.2,3,2
149,37.0,2,53.7,1,17
1336,152.29,3,799.2,3,23
1932,144.18,6,654.4,2,23
652,152.81,4,361.3,2,5
1010,257.9,4,907.5,2,3
1669,180.27,4,630.1,3,22
1601,90.74,3,229.7,3,23
148,1.49,2,84.9,1,15
557,161.28,5,955.4,3,2
1755,144.31,2,629.4,2,23
684,241.86,2,926.4,3,2
116,24.11,3,18.0,1,8
911,301.26,4,241.0,2,1
1423,108.61,2,618.0,2,23
88,1.34,1,54.3,0,8
567,218.52,5,239.7,2,5
1906,196.31,3,527.3,2,23
430,219.87,4,230.5,3,2
1132,151.58,6,894.1,3,4
121,70.72,1,70.0,0,20
1728,112.31,8,293.1,2,22
1168,152.8,6,715.7,2,3
32,17.06,3,24.3,1,14
750,272.24,5,492.3,3,5
1388,137.21,4,472.0,3,23
404,214.39,4,478.1,3,3
1095,227.59,5,561.9,2,3
1741,260.12,6,562.2,2,22
1735,203.14,8,654.0,2,22
168,78.76,3,79.0,0,11
1,35.77,2,16.4,1,11
1353,243.4,3,471.7,3,23
634,185.14,5,851.1,2,1
316,80.8,1,46.0,0,14
1117,237.3,3,595.5,3,2
357,4.71,1,97.0,0,13
804,194.73,3,586.3,2,0
828,177.49,4,971.1,2,0
534,150.63,3,992.7,2,2
62,26.45,2,90.0,1,8
1580,121.37,5,492.4,2,22
277,27.3,1,0.8,0,19
1294,219.53,5,448.2,3,22
1369,204.83,2,764.0,3,22
736,266.96,7,263.6,3,3
1857,175.09,5,904.5,3,22
1449,261.23,6,463.2,3,23
1540,95.5,3,927.1,3,23
185,18.93,4,7.4,0,8
1919,187.6,4,308.9,2,23
1051,183.16,6,346.2,3,3
523,245.99,5,560.7,3,0
871,168.29,4,583.7,3,3
1883,175.69,4,409.2,2,22
133,27.54,2,12.4,0,13
130,15.04,2,80.3,0,16
1097,183.18,6,351.0,2,3
832,324.68,5,848.6,2,0
1273,186.61,3,544.1,3,22
1717,248.52,2,495.2,3,22
858,201.63,4,467.5,3,4
55,12.59,3,24.7,1,19
1617,263.61,6,237.3,2,23
994,196.34,4,973.1,3,3
1447,268.96,5,248.3,3,23
1292,150.0,1,414.8,3,22
671,274.86,4,704.1,2,3
601,186.43,3,625.7,3,1
1948,297.84,3,481.3,3,23
1618,225.04,6,521.9,3,23
617,148.29,6,308.9,3,4
382,92.18,2,71.4,0,14
1794,190.31,7,559.0,2,23
1256,224.74,6,348.7,2,23
1993,179.63,5,206.6,3,22
271,9.91,1,89.8,0,20
1345,232.17,2,368.2,3,22
1032,72.34,6,293.4,2,2
1559,115.42,4,796.2,3,22
19,22.75,2,65.8,0,15
841,177.39,4,572.4,3,3
344,30.21,2,88.6,0,9
438,217.53,3,334.8,3,4
1590,228.67,6,722.3,2,23
1820,339.86,3,581.5,2,22
884,227.67,6,803.8,2,5
1361,119.96,6,401.5,2,23
1038,200.24,3,854.9,2,1
389,33.72,2,86.8,0,17
1370,214.51,3,670.5,2,22
1473,216.54,4,634.3,3,23
483,202.87,3,658.6,2,0
1774,281.27,6,481.9,3,22
1268,236.92,4,706.0,2,22
157,32.8,4,8.0,1,18
1015,195.53,2,788.6,2,0
451,153.68,6,243.9,2,4
570,274.66,5,597.7,3,4
879,240.17,8,549.8,2,3
1190,255.32,2,568.4,2,2
1592,286.74,6,677.7,2,22
606,209.91,5,322.7,3,4
320,20.83,2,51.0,1,21
321,0.11,1,43.1,0,14
1303,202.64,4,291.9,3,22
1265,182.75,4,936.3,2,23
723,221.64,3,533.2,3,0
211,47.15,1,67.4,0,8
253,37.72,1,88.9,1,10
298,56.13,1,56.6,1,10
1355,206.2,4,702.2,2,22
855,175.65,2,635.1,3,4
760,136.57,2,998.0,3,0
655,247.7,6,370.5,3,0
258,60.18,2,30.6,0,19
954,227.4,2,758.1,2,5
1018,130.48,2,652.0,3,0
1012,187.47,7,434.4,2,5
1251,259.49,2,764.2,3,23
1228,158.61,3,525.0,2,22
375,45.12,3,54.6,0,20
6,16.5,1,71.0,1,14
668,235.33,6,527.9,3,0
1712,179.26,3,761.5,2,23
1323,245.7,2,205.2,2,23
1699,157.1,3,601.3,3,23
692,270.39,3,279.9,2,3
815,210.73,6,741.7,2,2
1679,86.87,6,595.7,3,23
615,102.97,5,221.8,3,5
73,29.61,1,23.9,0,21
1987,211.45,3,628.3,3,23
1295,103.77,4,435.8,2,22
1990,175.96,6,862.4,2,23
936,143.44,4,204.7,3,1
1019,257.46,3,795.3,3,0
1965,191.99,1,506.0,3,22
1944,214.85,4,510.6,3,23
14,1.85,4,99.5,0,20
1174,196.05,3,693.3,2,3
1684,201.51,5,765.4,3,23
369,23.49,1,18.4,0,20
155,32.83,2,88.7,0,18
319,24.36,3,66.8,0,13
1507,232.7,7,908.5,3,23
1451,131.61,1,918.6,3,23
1804,263.37,2,580.4,3,23
1940,180.91,6,865.0,3,23
777,160.83,4,886.6,2,3
1613,267.29,4,634.6,3,23
135,123.17,3,93.9,0,11
1433,214.34,4,943.1,3,22
1437,154.67,2,706.6,2,23
779,137.03,1,875.4,2,2
1998,147.79,3,507.1,3,22
1013,154.73,6,396.1,3,0
1929,244.34,4,533.6,2,22
16,40.18,1,81.9,0,9
1432,204.94,5,219.3,2,23
1354,225.64,3,613.8,2,23
1332,257.48,1,524.9,2,23
1378,220.05,3,200.3,3,22
928,242.99,5,340.6,2,2
842,214.0,8,693.0,2,3
962,214.91,5,642.1,2,0
1536,139.23,3,874.8,2,22
131,39.4,2,80.3,0,20
279,29.99,2,3.4,1,19
612,200.8,6,848.7,3,4
1159,180.81,3,829.2,2,4
762,232.04,4,615.6,3,5
1695,214.84,6,689.6,2,23
250,48.11,2,32.8,0,11
1024,85.28,4,592.3,3,4
1194,196.19,6,377.3,3,3
197,0.98,2,14.6,1,19
469,177.69,3,718.4,2,2
716,178.96,1,429.2,2,3
1865,194.81,7,268.3,2,22
1895,176.28,3,545.4,3,22
1629,111.31,4,375.7,2,23
1175,249.52,4,793.7,3,3
1698,234.85,6,760.6,2,23
137,16.78,2,62.2,0,17
234,49.48,3,14.7,0,10
548,185.61,3,637.5,2,4
945,169.11,4,386.3,3,4
880,248.99,6,790.1,3,1
1603,173.14,6,820.2,2,22
204,166.3,1,41.3,0,12
1753,134.25,4,802.3,2,22
1481,107.63,3,754.6,3,23
1661,196.57,3,812.9,3,23
1801,138.92,3,842.4,2,23
1927,199.49,9,516.6,2,22
739,201.98,2,999.2,2,0
1220,201.88,5,337.7,3,23
1953,166.69,3,541.2,2,22
631,175.29,7,328.4,3,4
1639,191.93,9,939.5,2,22
1813,233.59,5,362.8,3,22
625,254.27,4,848.8,3,0
679,142.08,9,307.9,2,0
1209,117.04,4,778.2,3,23
317,26.57,1,9.5,0,9
814,197.94,2,681.6,2,3
1189,184.19,4,416.6,2,3
37,16.67,2,38.4,0,20
551,246.32,6,896.8,3,1
680,196.72,5,649.8,2,4
1671,247.51,5,901.8,2,22
603,149.81,3,825.0,3,3
1715,176.95,2,380.1,2,22
407,227.57,1,688.0,2,0
946,117.04,5,382.9,2,2
1187,263.21,10,922.7,2,4
591,211.42,3,671.9,2,4
1638,202.0,4,367.2,3,22
1995,268.85,6,739.0,3,23
513,175.84,3,517.2,3,0
1739,256.89,3,507.2,3,23
948,114.98,6,334.5,2,4
1104,273.39,4,407.1,2,2
977,204.59,3,810.8,2,2
903,174.65,3,872.6,2,3
1696,321.61,6,420.4,2,23
1415,240.44,6,788.1,2,23
1982,214.02,4,763.6,2,23
1474,151.2,3,200.1,3,22
1464,187.95,3,906.7,3,23
464,118.11,4,368.7,3,1
1631,165.77,2,601.8,2,23
162,43.46,1,91.2,1,21
1588,201.31,3,393.9,3,22
997,165.37,2,635.0,3,4
1056,249.83,6,864.0,2,1
276,5.3,2,70.3,0,16
380,8.13,2,37.9,0,11
1130,181.9,4,313.0,3,5
70,25.49,2,17.3,1,16
264,8.09,1,68.1,0,12
333,28.06,2,86.1,0,21
1027,220.27,6,840.6,3,1
1645,186.37,7,258.0,2,23
151,5.44,1,17.9,0,8
1814,106.5,3,935.4,2,22
77,24.41,3,59.8,0,17
432,171.78,7,599.7,2,5
1711,144.4,3,602.5,2,23
1570,233.33,2,930.9,3,22
1871,203.1,5,668.8,2,23
170,25.6,2,95.7,0,15
1427,88.92,3,979.4,3,23
1567,228.8,3,726.2,2,22
186,49.5,2,98.2,0,11
66,2.61,1,42.1,0,19
1114,258.25,4,544.5,2,3
473,258.0,5,782.1,2,5
86,55.29,1,61.1,1,17
1838,193.61,3,292.3,3,22
1462,289.94,3,211.0,2,23
1892,156.87,8,289.8,2,22
167,12.33,2,72.5,1,12
1482,220.01,8,255.5,3,23
500,252.83,5,283.9,3,1
172,2.47,2,26.8,1,9
1635,171.41,3,427.1,2,22
49,21.99,4,97.3,0,20
749,184.97,10,340.0,2,5
1182,202.8,2,936.7,3,4
98,15.27,2,54.3,0,8
1400,235.33,5,961.0,3,22
1135,170.4,5,324.9,2,2
1477,162.45,5,583.4,2,23
174,51.7,2,24.2,1,18
1172,204.32,2,273.0,3,2
906,242.78,5,658.1,2,5
616,268.69,3,599.3,3,5
1996,142.03,3,600.1,2,22
727,179.04,4,980.7,2,0
335,12.26,1,70.2,1,14
1202,248.95,7,611.9,2,23
835,209.9,6,689.2,2,1
757,247.58,4,934.1,2,5
747,180.66,4,530.2,2,4
1758,228.46,3,745.3,3,22
1955,229.55,3,470.0,2,22
1467,257.0,2,689.9,3,23
1745,179.48,3,343.9,2,22
986,186.89,6,596.4,3,5
1691,252.76,5,919.5,3,22
1103,175.44,1,893.8,2,3
1831,221.12,3,215.3,2,23
1920,306.62,3,922.7,2,23
1945,156.61,4,717.6,3,22
1764,217.29,4,492.8,3,23
1483,221.9,4,635.0,3,22
1835,224.45,7,309.0,2,23
971,201.72,3,894.9,2,3
1003,243.78,3,958.4,3,2
458,241.97,4,916.6,3,2
1127,199.96,2,721.7,3,1
821,238.25,5,581.2,3,3
1553,143.39,8,323.8,2,23
1702,190.8,5,737.4,2,22
1405,251.41,5,320.9,3,22
173,58.85,4,23.1,0,14
713,183.64,2,961.9,3,3
867,205.92,1,312.1,2,5
1218,203.57,3,551.1,2,22
1455,136.92,6,411.6,2,22
1124,214.77,2,572.0,2,3
876,255.83,3,324.9,2,1
1956,224.1,3,453.6,2,23
1719,151.72,7,264.8,2,22
1634,148.58,5,926.1,2,22
386,6.86,1,73.8,0,16
1252,235.61,6,595.8,3,23
117,25.92,1,63.5,0,20
645,138.04,5,356.0,3,3
1372,72.79,1,665.8,3,23
1471,234.38,2,952.5,2,23
1843,92.52,3,633.7,3,23
1217,167.72,5,845.7,2,23
806,196.36,2,870.2,3,2
1076,192.25,4,305.0,3,0
1065,140.32,8,344.4,2,3
1304,151.39,8,274.7,3,22
1452,183.16,2,460.0,3,22
656,262.9,4,812.9,3,3
1392,184.76,2,575.0,3,22
152,45.56,3,27.5,0,9
1192,209.7,3,672.6,2,0
799,205.89,4,254.2,2,1
268,7.94,1,72.4,0,18
189,80.62,1,95.8,0,11
938,224.09,5,797.3,3,4
1200,193.06,4,237.4,2,3
283,4.07,2,0.3,0,10
475,235.8,1,414.6,2,1
1229,140.59,2,841.3,2,23
1713,258.1,9,684.7,2,22
1235,112.22,2,988.3,3,22
308,23.29,3,13.1,0,20
972,219.19,3,412.5,2,3
915,229.93,4,793.3,2,1
1077,200.58,5,508.7,3,4
85,77.76,2,92.8,1,12
349,64.18,2,18.8,0,15
1844,88.24,3,886.9,3,22
950,182.54,5,507.4,3,5
968,159.2,3,792.1,3,5
1399,194.68,4,873.6,3,23
142,10.57,1,11.5,0,13
409,242.15,3,951.9,2,0
512,212.73,4,456.3,3,5
247,98.91,5,82.8,0,19
1525,251.72,3,592.0,3,22
1701,296.77,2,379.8,3,22
376,6.71,3,79.2,0,11
569,211.41,4,369.2,3,3
1365,261.06,3,922.1,3,22
1417,133.85,4,795.5,2,22
1191,174.05,4,626.2,2,5
529,223.64,2,968.1,2,2
1040,196.39,6,671.2,3,3
1583,208.78,6,774.7,3,23
347,12.3,3,89.7,1,20
702,178.56,5,786.6,3,2
1623,89.25,6,338.3,2,22
1709,252.72,2,766.4,2,22
303,0.23,2,74.5,0,9
1331,179.34,3,585.7,2,22
38,67.16,2,49.2,1,19
1914,196.32,5,777.8,3,23
1034,144.65,2,673.3,3,0
99,8.27,1,15.2,0,13
1870,222.24,6,505.1,2,23
1730,244.52,7,578.0,3,22
1253,175.66,4,535.5,2,22
599,183.93,3,236.0,3,1
1406,220.35,5,595.7,3,22
934,142.68,4,890.2,3,2
1894,264.22,3,945.4,3,23
667,213.39,4,262.1,3,3
1900,196.89,3,966.6,2,22
251,7.01,1,91.2,1,20
1685,180.98,3,916.2,2,23
1215,238.63,5,628.3,3,23
1288,229.68,4,977.0,2,23
163,25.02,1,39.2,0,10
1568,174.22,5,655.7,3,22
1792,200.43,1,626.9,2,23
1393,194.19,3,619.8,3,22
866,153.96,3,677.5,3,3
287,106.26,1,85.3,0,12
1357,164.56,6,796.4,3,23
1666,180.89,3,473.3,2,23
354,8.43,1,59.6,0,10
1376,238.1,3,912.6,3,22
1582,195.21,4,707.6,3,23
580,255.5,1,703.6,2,5
139,17.97,2,51.8,0,14
454,233.69,4,608.0,2,0
1876,196.57,2,290.4,3,22
1338,179.05,3,305.0,2,23
675,146.3,3,306.5,2,3
46,8.65,1,75.4,1,13
996,192.43,2,523.4,3,0
1988,208.29,2,434.7,2,23
543,157.48,4,867.7,2,4
259,0.77,1,49.0,1,16
907,201.97,4,719.7,3,4
1860,156.24,3,850.3,2,22
836,158.87,5,790.0,3,4
1703,195.4,5,414.1,3,23
153,10.13,1,2.0,1,8
588,200.4,3,316.3,3,3
1901,186.91,6,889.1,3,22
1267,176.3,4,314.6,3,22
1450,186.06,3,201.7,2,23
801,233.87,8,784.6,2,4
1270,258.35,5,486.5,3,23
1377,213.33,5,235.6,2,23
158,65.64,3,69.3,1,16
522,302.39,7,282.7,3,4
1176,261.7,5,477.9,3,2
1657,205.99,5,945.2,2,23
1939,186.88,7,215.1,3,22
164,2.66,4,30.9,0,12
393,86.67,2,85.9,0,21
1827,178.17,4,644.9,2,23
1078,276.94,4,983.7,3,0
503,213.76,3,743.5,2,5
1795,127.16,6,440.7,2,23
1396,189.0,5,235.5,3,22
1727,186.05,5,241.5,2,23
34,20.42,3,84.1,0,21
1163,101.67,6,449.3,3,3
778,275.45,2,235.5,3,5
1016,241.13,6,267.8,2,1
1833,209.76,2,846.6,2,22
1441,104.26,1,248.9,3,23
600,163.23,4,566.2,2,3
1098,250.08,4,872.2,2,2
238,118.25,1,13.3,0,18
1608,275.03,4,213.8,3,22
1029,147.92,7,776.6,3,2
646,175.11,5,543.5,2,1
96,35.3,2,28.9,1,16
1144,240.08,3,646.9,2,5
851,178.66,4,851.2,2,4
1121,254.22,4,838.5,3,5
1649,249.83,3,980.8,3,22
1277,135.47,2,619.7,2,23
224,74.61,3,27.3,0,14
79,4.98,3,59.5,0,21
1197,194.69,3,433.3,2,2
1421,294.42,3,415.3,3,22
518,122.0,4,405.4,2,2
463,183.35,3,565.1,3,1
995,220.72,3,859.6,3,5
1769,210.73,5,428.0,2,22
1397,180.82,5,871.4,2,23
1149,227.51,3,244.0,2,5
217,6.01,1,92.1,1,16
394,20.27,2,65.0,0,9
1798,258.95,4,602.0,3,22
598,256.19,3,536.8,3,3
1196,243.64,6,353.3,3,0
377,51.54,2,23.7,0,10
209,32.47,3,7.8,1,18
1305,183.32,4,815.4,2,22
883,248.34,2,695.4,2,0
492,171.68,4,403.4,2,3
982,267.5,3,921.8,3,5
353,16.47,2,57.6,0,20
1841,134.23,8,778.8,3,22
1073,289.86,4,720.1,2,2
1958,258.94,6,984.2,2,23
738,233.5,3,588.1,2,3
1861,194.88,3,293.6,2,23
1806,240.87,7,843.1,2,22
955,232.93,5,279.5,2,3
1414,248.9,3,602.2,3,23
1115,155.29,5,948.3,3,2
1925,196.47,5,417.4,2,22
926,120.8,5,690.4,3,4
810,249.61,7,210.0,3,2
647,172.08,7,518.9,3,0
869,135.29,9,864.8,3,5
20,22.77,2,59.3,1,15
1714,226.03,3,323.2,3,22
585,190.83,5,738.0,2,2
677,153.32,3,455.7,3,0
697,183.78,2,941.9,3,1
1930,227.34,1,396.7,3,23
1994,250.6,2,686.3,2,23
304,2.66,1,93.6,0,11
983,141.59,7,489.9,2,3
128,24.93,1,26.1,1,15
722,126.96,6,987.5,2,0
410,183.55,4,914.8,2,4
1572,278.16,2,744.1,3,22
449,155.2,2,769.5,3,4
1181,162.15,4,282.5,2,2
1516,188.21,3,684.1,2,23
1099,214.82,1,226.2,3,5
1778,165.37,5,334.0,2,23
1936,194.27,3,439.1,3,23
1973,251.0,2,403.9,3,23
146,42.01,2,2.2,1,17
1367,166.43,3,597.6,2,23
894,129.4,2,892.6,2,5
179,15.29,3,9.0,1,18
643,99.3,3,562.0,3,5
1539,186.94,6,701.5,2,22
1599,216.64,4,894.4,3,23
862,150.64,4,254.3,2,5
445,157.72,2,770.3,3,0
447,279.2,4,489.6,2,0
1797,184.11,7,493.1,2,23
1503,282.98,5,822.9,2,22
726,264.06,4,706.8,3,4
245,3.06,1,37.9,1,12
1694,213.4,5,394.6,2,23
1810,206.65,5,784.4,3,23
1350,130.89,4,253.0,2,22
579,293.42,3,283.5,3,5
1186,184.89,7,518.9,3,1
241,0.17,2,3.7,0,17
1325,189.67,5,230.4,3,23
759,195.6,4,816.4,3,0
82,35.33,1,97.2,1,18
633,226.93,6,368.0,2,5
1785,226.91,2,236.8,2,22
275,22.9,2,75.7,1,13
345,9.6,2,19.9,0,18
398,16.4,1,13.7,0,17
768,168.89,2,962.8,3,5
56,10.88,1,84.4,0,8
206,25.58,2,35.6,0,21
1680,170.28,2,955.7,2,23
854,185.26,3,643.3,3,4
1245,169.56,6,821.7,2,23
187,0.22,1,14.0,0,15
1210,120.4,3,727.8,3,22
418,197.92,2,560.6,3,4
